id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
566,Last Mission,Stand-up Comedy,Music,None,2009,51,TV-MA,English,USA,6.3,11115414,64610932.91,0,0,TRUE,2023-01-23,FALSE
567,Kingdom Dragon,Stand-up Comedy,Music,None,2009,69,TV-14,Korean,USA,6.3,11115414,64610932.91,0,0,FALSE,2020-08-08,FALSE
568,Little Night,TV Series,Sci-Fi,None,2009,40,TV-14,English,USA,6.3,11115414,64610932.91,3,171,TRUE,2025-06-01,FALSE
569,Princess House,Movie,Thriller,None,2009,95,TV-Y7,English,USA,7.9,19537616,4193030,0,0,TRUE,2020-11-02,FALSE
570,Battle City,Movie,Thriller,None,2009,117,TV-MA,English,USA,6.3,4127966,782958,0,0,FALSE,2024-10-16,FALSE
571,City Storm,Documentary,War,Action,2009,67,TV-14,Hindi,USA,6.5,11115414,64610932.91,0,0,FALSE,2025-07-14,FALSE
571,Journey Mystery,Movie,Western,None,2009,21,NC-17,English,South Korea,5.3,350706,146051,0,0,FALSE,2025-03-18,FALSE
572,Queen Day,Movie,Western,Music,2009,121,PG,English,USA,8.8,9065794,64610932.91,0,0,FALSE,2023-07-21,FALSE
573,Story Queen,TV Series,Action,None,2010,26,G,English,USA,6.5,11115414,64610932.91,1,159,FALSE,2020-11-18,FALSE
574,Battle Night,TV Series,Adventure,None,2010,37,TV-MA,Italian,USA,6.3,11115414,64610932.91,9,178,FALSE,2021-06-26,FALSE
575,New Adventure,Documentary,Adventure,Thriller,2010,85,G,Spanish,USA,7.0,11115414,64610932.91,0,0,FALSE,2021-01-20,FALSE
576,Hero City,TV Series,Adventure,None,2010,49,PG-13,French,USA,8.9,11115414,64610932.91,8,101,FALSE,2024-09-26,TRUE
577,Legend King,Documentary,Biography,None,2010,71,PG,English,UK,9.5,11115414,64610932.91,0,0,FALSE,2023-12-06,FALSE
578,House Empire,Limited Series,Biography,None,2010,54,G,Korean,USA,7.2,11115414,64610932.91,10,174,FALSE,2023-08-19,FALSE
579,House Empire,Limited Series,Biography,None,2010,54,G,Korean,USA,7.2,11115414,64610932.91,10,174,FALSE,2023-08-19,FALSE
580,Our Storm,Movie,Comedy,None,2010,38,PG-13,Italian,USA,6.6,11115414,64610932.91,0,0,FALSE,2021-02-22,TRUE
581,Mission Quest,Movie,Documentary,None,2010,124,TV-Y,English,USA,6.3,1398006,64610932.91,0,0,TRUE,2020-12-14,FALSE
582,Princess Night,Documentary,Fantasy,None,2010,94,TV-MA,English,USA,6.0,11115414,64610932.91,0,0,TRUE,2020-11-19,TRUE
583,Journey House,Movie,History,None,2010,108,TV-Y7,English,USA,0.6,27987637,64610932.91,0,0,FALSE,2020-11-26,FALSE
584,Mystery City,Documentary,Music,None,2010,93,NC-17,English,Germany,6.0,11115414,64610932.91,0,0,TRUE,2024-06-22,FALSE
585,Phoenix Story,TV Series,Music,None,2010,45,TV-14,English,Canada,8.0,11115414,64610932.91,13,170,FALSE,2024-04-11,FALSE
586,Story Journey,Movie,Music,None,2010,159,TV-Y7,French,France,8.2,12844095,34444993,0,0,FALSE,2020-10-30,FALSE
586,Night King,Movie,Mystery,Comedy,2010,81,TV-Y7,German,USA,5.5,11115414,64610932.91,0,0,FALSE,2024-05-28,FALSE
587,Kingdom Hero,TV Series,Mystery,None,2010,24,NC-17,Italian,South Korea,6.2,11115414,64610932.91,5,197,FALSE,2021-12-13,FALSE
588,Empire Love,TV Series,Mystery,None,2010,51,R,Japanese,USA,6.3,11115414,64610932.91,5,58,FALSE,2023-09-05,TRUE
589,Dragon Mystery,TV Series,Romance,None,2010,58,TV-Y,English,USA,7.8,11115414,64610932.91,3,129,FALSE,2023-03-23,TRUE
590,My Fire,Movie,Sport,Adventure,2010,92,PG-13,English,Canada,7.1,6655248,12028987,0,0,FALSE,2024-08-27,FALSE
590,Secret Ice,Documentary,Sport,Sci-Fi,2010,97,TV-Y7,English,USA,6.6,11115414,64610932.91,0,0,TRUE,2023-04-30,FALSE
591,Our Queen,Movie,Western,Music,2010,105,PG,English,Canada,5.0,16341730,39189864,0,0,TRUE,2022-01-10,FALSE
592,Old Dragon,Documentary,Western,None,2010,86,PG-13,Korean,Canada,3.2,11115414,64610932.91,0,0,FALSE,2023-10-30,FALSE
593,Legend Empire,Stand-up Comedy,Western,None,2010,55,PG-13,Japanese,South Korea,7.0,11115414,64610932.91,0,0,FALSE,2022-06-07,FALSE
594,First Quest,TV Series,Action,Mystery,2011,70,NC-17,English,USA,7.3,11115414,64610932.91,7,170,FALSE,2025-06-30,TRUE
595,Princess Phoenix,Movie,Adventure,None,2011,116,PG,English,France,7.6,10555440,7278095,0,0,TRUE,2021-04-04,FALSE
596,Bright Journey,TV Series,Adventure,None,2011,46,PG-13,Korean,USA,8.7,11115414,64610932.91,4,133,FALSE,2022-02-03,FALSE
597,Little City,Movie,Adventure,Mystery,2011,145,NC-17,English,Canada,4.4,183679,150842229,0,0,FALSE,2022-11-09,TRUE
598,New Queen,Movie,Adventure,Sport,2011,100,G,Korean,Canada,5.2,27001846,1247942,0,0,FALSE,2024-04-18,FALSE
599,Love Mission,Movie,Adventure,None,2011,27,G,English,USA,6.7,1945287,587723,0,0,TRUE,2025-07-15,TRUE
600,City Mystery,Movie,Animation,None,2011,119,PG,German,USA,5.5,1882096,64610932.91,0,0,FALSE,2023-07-31,FALSE
600,Kingdom Dream,Movie,Biography,None,2011,152,PG-13,French,Canada,5.6,68373,5231163,0,0,FALSE,2023-03-26,FALSE
601,House Day,Documentary,Biography,History,2011,82,TV-14,English,USA,6.3,11115414,64610932.91,0,0,TRUE,2024-01-31,TRUE
602,Empire King,TV Series,Comedy,None,2011,51,TV-G,French,USA,6.3,11115414,64610932.91,5,23,FALSE,2025-05-02,FALSE
603,Ice Phoenix,TV Series,Comedy,Sci-Fi,2011,22,R,English,Germany,3.0,11115414,64610932.91,7,141,FALSE,2025-04-06,TRUE
604,Empire Story,Limited Series,Crime,Action,2011,45,G,English,USA,3.7,11115414,64610932.91,10,18,FALSE,2022-03-06,FALSE
605,Ice Mystery,Movie,Documentary,None,2011,102,PG,French,USA,7.5,2650811,64610932.91,0,0,FALSE,2024-11-01,FALSE
606,Battle Legend,Movie,Documentary,Thriller,2011,88,R,English,South Korea,6.5,1448215,7347430,0,0,FALSE,2020-09-10,FALSE
607,Adventure Legend,Stand-up Comedy,Drama,Romance,2011,67,TV-Y,English,USA,6.5,11115414,64610932.91,0,0,FALSE,2022-12-09,FALSE
608,New City,Movie,Drama,Mystery,2011,72,TV-PG,English,USA,6.4,602601,64610932.91,0,0,FALSE,2021-03-05,TRUE
609,City Princess,Documentary,Family,History,2011,73,TV-MA,Japanese,South Korea,4.4,11115414,64610932.91,0,0,TRUE,2024-11-04,FALSE
610,City Princess,Documentary,Family,History,2011,73,TV-MA,Japanese,South Korea,4.4,11115414,64610932.91,0,0,TRUE,2024-11-04,FALSE
611,Little Dragon,TV Series,Fantasy,History,2011,50,G,English,USA,5.2,11115414,64610932.91,2,27,FALSE,2020-11-06,FALSE
612,Princess Battle,Movie,Fantasy,None,2011,90,TV-Y,English,France,6.5,1346945,64610932.91,0,0,FALSE,2024-10-25,FALSE
613,Dragon Warrior,Movie,History,Horror,2011,122,NC-17,Hindi,USA,6.3,13039164,51016239,0,0,TRUE,2023-06-05,FALSE
614,Fire Mission,TV Series,History,None,2011,55,PG,Italian,South Korea,4.6,11115414,64610932.91,8,41,TRUE,2025-07-30,FALSE
615,Ice Secret,Movie,Horror,None,2011,132,G,English,USA,5.5,6517048,64610932.91,0,0,FALSE,2021-06-26,FALSE
616,Last Phoenix,TV Series,Music,None,2011,28,NC-17,Spanish,USA,5.6,11115414,64610932.91,2,185,FALSE,2020-08-13,FALSE
617,Family Adventure,Limited Series,Mystery,None,2011,332,TV-Y,Korean,USA,7.3,11115414,64610932.91,3,79,TRUE,2021-08-11,FALSE
618,Hero Dragon,Limited Series,Romance,None,2011,20,TV-14,Italian,Canada,6.3,11115414,64610932.91,3,37,TRUE,2021-04-26,TRUE
618,Our Princess,Documentary,Sci-Fi,None,2011,131,NC-17,Japanese,USA,5.3,11115414,64610932.91,0,0,FALSE,2022-11-26,FALSE
619,Kingdom Princess,Movie,Sci-Fi,None,2011,109,TV-PG,English,UK,6.3,11115414,250370,0,0,FALSE,2022-10-06,FALSE
620,Big Mission,Limited Series,Sci-Fi,Thriller,2011,47,PG-13,English,Canada,7.4,11115414,64610932.91,5,109,TRUE,2022-02-03,FALSE
621,Hero King,Movie,Sci-Fi,None,2011,109,NC-17,Spanish,USA,4.0,821340,64610932.91,0,0,FALSE,2023-12-20,FALSE
622,Dream Family,Stand-up Comedy,Sport,None,2011,64,TV-14,Hindi,Canada,4.8,11115414,64610932.91,0,0,FALSE,2025-07-31,FALSE
623,Day Warrior,Stand-up Comedy,Sport,Thriller,2011,61,R,English,Canada,3.7,11115414,64610932.91,0,0,FALSE,2024-01-19,FALSE
624,Story King,Stand-up Comedy,War,None,2011,33,TV-Y,Hindi,UK,8.0,11115414,64610932.91,0,0,FALSE,2022-12-08,FALSE
625,My Adventure,TV Series,War,Sport,2011,53,TV-Y,English,USA,6.6,11115414,64610932.91,13,77,FALSE,2022-06-21,TRUE
625,Family King,Movie,War,None,2011,91,TV-Y,English,USA,4.2,6878404,2032055569,0,0,FALSE,2020-08-12,FALSE
626,Dragon Day,Documentary,Western,None,2011,91,PG-13,English,USA,5.4,11115414,64610932.91,0,0,FALSE,2023-06-07,FALSE
627,Phoenix Mission,Movie,Action,None,2012,129,TV-Y,English,USA,4.4,4494260,53848956,0,0,FALSE,2022-08-16,FALSE
628,Legend King,Documentary,Action,Sci-Fi,2012,75,PG-13,Spanish,South Korea,8.1,11115414,64610932.91,0,0,FALSE,2025-02-10,FALSE
629,Secret Battle,Movie,Adventure,None,2012,142,R,English,USA,5.6,573288,64610932.91,0,0,FALSE,2022-05-27,TRUE
630,Adventure Mission,Limited Series,Animation,History,2012,74,NC-17,Hindi,Canada,4.9,11115414,64610932.91,2,197,FALSE,2024-05-08,FALSE
631,Dark Phoenix,TV Series,Biography,None,2012,56,PG-13,English,France,6.8,11115414,64610932.91,3,123,FALSE,2023-11-10,FALSE
632,Journey Princess,Limited Series,Comedy,Drama,2012,57,PG,Spanish,USA,5.3,11115414,64610932.91,6,10,FALSE,2024-08-14,TRUE
633,First Journey,Documentary,Crime,None,2012,102,TV-Y,English,South Korea,8.2,11115414,64610932.91,0,0,FALSE,2024-02-07,FALSE
634,Secret Mystery,Documentary,Drama,None,2012,74,PG-13,Italian,UK,9.8,11115414,64610932.91,0,0,FALSE,2024-10-25,FALSE
635,Last Storm,Stand-up Comedy,Family,None,2012,59,G,English,USA,6.8,11115414,64610932.91,0,0,FALSE,2023-08-14,FALSE
636,Dark House,Movie,Fantasy,None,2012,117,PG-13,English,USA,7.8,859774,64610932.91,0,0,TRUE,2024-07-16,FALSE
637,Story City,Documentary,History,None,2012,98,NC-17,English,Germany,6.4,11115414,64610932.91,0,0,FALSE,2025-01-29,FALSE
638,Princess House,TV Series,History,Crime,2012,61,PG-13,English,India,6.3,11115414,64610932.91,7,15,FALSE,2025-07-18,FALSE
639,An Ice,Movie,Horror,None,2012,138,TV-Y7,English,USA,4.9,11115414,64610932.91,0,0,TRUE,2020-12-17,FALSE
640,My Love,Movie,Music,None,2012,134,PG,English,USA,6.3,999917,93806,0,0,TRUE,2022-04-17,FALSE
641,Warrior Quest,Movie,Mystery,Romance,2012,109,R,English,USA,6.3,1558696,4818745,0,0,FALSE,2023-09-08,FALSE
642,Queen Family,Movie,Mystery,Sci-Fi,2012,70,TV-14,Japanese,Japan,6.3,11115414,3500926,0,0,TRUE,2020-12-15,FALSE
643,Hero Empire,Movie,Sci-Fi,Mystery,2012,108,TV-G,English,UK,6.3,2006408,64610932.91,0,0,FALSE,2022-09-18,FALSE
644,Dragon Hero,Movie,Sci-Fi,None,2012,100,G,English,USA,5.7,11115414,17337817,0,0,FALSE,2024-01-30,FALSE
645,The Story,Documentary,Thriller,Fantasy,2012,101,PG-13,English,France,5.5,11115414,64610932.91,0,0,TRUE,2023-09-03,FALSE
646,Story Battle,Stand-up Comedy,Thriller,None,2012,50,TV-PG,Italian,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-08-09,FALSE
647,Love Empire,Documentary,War,War,2012,66,TV-G,English,Canada,5.5,11115414,64610932.91,0,0,FALSE,2021-10-10,TRUE
648,Secret City,Documentary,War,None,2012,104,NC-17,English,India,5.4,11115414,64610932.91,0,0,FALSE,2022-12-15,TRUE
649,The War,Movie,War,Sport,2012,99,TV-Y7,English,USA,4.5,2037924,6245998,0,0,FALSE,2022-10-08,TRUE
650,Secret City,Documentary,War,None,2012,104,NC-17,English,India,5.4,11115414,64610932.91,0,0,FALSE,2022-12-15,TRUE
651,House House,Stand-up Comedy,Western,None,2012,60,PG-13,English,South Korea,7.0,11115414,64610932.91,0,0,TRUE,2021-09-19,FALSE
652,Mystery Princess,TV Series,Western,None,2012,66,TV-G,English,USA,3.3,11115414,64610932.91,10,54,TRUE,2024-02-03,FALSE
652,Story Fire,Movie,Adventure,Sport,2013,157,TV-14,English,Japan,8.1,28183154,26250908,0,0,FALSE,2022-12-26,TRUE
653,Dragon Empire,Movie,Biography,None,2013,123,PG,Spanish,USA,8.4,11115414,64610932.91,0,0,FALSE,2024-05-09,FALSE
654,Hero Dream,Movie,Biography,Crime,2013,88,G,Italian,USA,9.1,169741881,64610932.91,0,0,FALSE,2025-04-11,TRUE
655,Our Queen,Movie,Biography,Drama,2013,121,PG,English,South Korea,8.4,8714072,35270961,0,0,FALSE,2022-09-26,FALSE
656,Little House,TV Series,Biography,Family,2013,56,PG-13,Spanish,South Korea,6.8,11115414,64610932.91,8,94,FALSE,2020-09-13,FALSE
657,Adventure King,Movie,Comedy,Romance,2013,104,TV-14,English,Canada,7.9,4687811,26772080,0,0,FALSE,2022-06-24,FALSE
658,Our Dream,TV Series,Comedy,None,2013,37,TV-14,Korean,India,9.4,11115414,64610932.91,11,42,TRUE,2020-12-07,FALSE
659,Queen Mystery,Limited Series,Comedy,None,2013,0,TV-G,English,South Korea,6.3,11115414,64610932.91,2,24,FALSE,2021-01-16,FALSE
660,Day Journey,Movie,Crime,None,2013,50,TV-PG,Korean,South Korea,3.1,5519943,64610932.91,0,0,TRUE,2022-02-22,FALSE
661,Family Journey,TV Series,Documentary,History,2013,24,TV-14,Italian,Japan,6.3,11115414,64610932.91,9,66,FALSE,2022-02-23,FALSE
662,Quest Queen,Movie,Family,None,2013,127,PG,English,UK,9.2,11115414,1286089,0,0,FALSE,2024-12-21,FALSE
663,Little Dragon,Movie,Family,None,2013,109,R,English,USA,5.2,794995,24268353,0,0,TRUE,2022-04-27,TRUE
664,Family Day,Stand-up Comedy,Family,None,2013,54,PG,English,USA,9.3,11115414,64610932.91,0,0,FALSE,2023-08-08,FALSE
665,City Queen,Documentary,Fantasy,None,2013,99,TV-G,Spanish,USA,6.3,11115414,64610932.91,0,0,TRUE,2020-11-04,TRUE
666,Day Legend,Limited Series,Fantasy,None,2013,69,TV-14,English,USA,6.0,11115414,64610932.91,8,162,TRUE,2022-09-25,FALSE
667,Princess Secret,Movie,History,Comedy,2013,118,TV-G,English,USA,5.1,25930822,32785848,0,0,FALSE,2025-07-21,FALSE
668,Quest War,Movie,History,Adventure,2013,101,TV-MA,French,USA,5.5,12437786,110918415,0,0,FALSE,2022-11-14,FALSE
669,Our Mission,TV Series,Music,War,2013,66,PG-13,French,Japan,7.3,11115414,64610932.91,1,78,TRUE,2020-12-04,TRUE
670,Night Adventure,Stand-up Comedy,Music,Thriller,2013,42,G,English,USA,8.8,11115414,64610932.91,0,0,TRUE,2022-02-27,FALSE
671,Dream Dream,Movie,Music,Romance,2013,126,TV-Y,Japanese,USA,6.3,11115414,5867475,0,0,FALSE,2025-03-15,TRUE
672,Storm Journey,TV Series,Mystery,None,2013,52,PG,Korean,India,6.6,11115414,64610932.91,10,89,FALSE,2021-02-15,FALSE
673,Dream Journey,Movie,Romance,None,2013,138,PG,English,Germany,8.6,1758821,3573506,0,0,FALSE,2021-01-20,TRUE
674,Old Queen,Movie,Romance,None,2013,111,G,English,South Korea,6.3,2615689,64610932.91,0,0,TRUE,2020-11-11,TRUE
675,My Mystery,Movie,Thriller,None,2013,111,NC-17,Hindi,Canada,6.3,252254,161575,0,0,FALSE,2023-07-16,FALSE
676,Mystery Secret,Movie,Thriller,Drama,2013,155,NC-17,Italian,South Korea,6.3,5902404,803661496,0,0,FALSE,2021-04-12,TRUE
677,First Hero,TV Series,War,Animation,2013,28,PG-13,English,USA,4.7,11115414,64610932.91,2,30,FALSE,2020-08-12,FALSE
678,City Dream,Movie,Adventure,None,2014,121,PG-13,Korean,USA,6.9,2411775,4770765,0,0,TRUE,2021-02-08,FALSE
679,Dark Kingdom,TV Series,Adventure,None,2014,26,R,Spanish,South Korea,6.1,11115414,64610932.91,6,97,TRUE,2023-12-17,FALSE
680,Day City,Documentary,Adventure,None,2014,110,R,English,India,9.6,11115414,64610932.91,0,0,FALSE,2025-04-06,FALSE
681,Dark Adventure,Stand-up Comedy,Adventure,None,2014,53,TV-Y,English,USA,5.0,11115414,64610932.91,0,0,TRUE,2023-04-13,FALSE
682,House War,Movie,Animation,None,2014,82,TV-PG,English,USA,7.5,1647411,64610932.91,0,0,FALSE,2025-03-18,FALSE
683,Love Kingdom,Documentary,Biography,None,2014,87,TV-MA,English,UK,6.1,11115414,64610932.91,0,0,FALSE,2023-03-02,TRUE
684,Dark Fire,Limited Series,Biography,Biography,2014,61,NC-17,French,USA,3.8,11115414,64610932.91,5,55,TRUE,2021-12-16,FALSE
685,First Family,Stand-up Comedy,Comedy,None,2014,534,TV-MA,English,Germany,6.3,11115414,64610932.91,0,0,FALSE,2024-03-24,TRUE
686,Last Love,Stand-up Comedy,Crime,None,2014,74,PG,English,South Korea,6.2,11115414,64610932.91,0,0,TRUE,2022-01-19,FALSE
687,My Story,Documentary,Crime,Adventure,2014,570,TV-G,Japanese,UK,4.8,11115414,64610932.91,0,0,TRUE,2021-03-03,TRUE
688,Adventure Warrior,TV Series,Crime,None,2014,47,TV-PG,English,USA,8.4,11115414,64610932.91,2,57,FALSE,2021-10-25,TRUE
689,Day Queen,Movie,Documentary,Documentary,2014,89,TV-Y,English,USA,7.8,5453306,32981493,0,0,FALSE,2022-12-26,FALSE
690,Battle Empire,TV Series,Documentary,None,2014,41,TV-PG,Spanish,UK,0.8,11115414,64610932.91,6,20,TRUE,2023-03-30,FALSE
691,Bright Princess,Documentary,Documentary,None,2014,84,TV-PG,English,France,6.4,11115414,64610932.91,0,0,FALSE,2022-07-16,TRUE
692,Storm Dream,TV Series,Documentary,None,2014,31,TV-Y7,French,USA,5.9,11115414,64610932.91,7,199,TRUE,2024-08-12,FALSE
693,A Secret,Movie,Drama,None,2014,112,PG,French,Germany,5.2,1942432,50827785,0,0,FALSE,2022-10-20,FALSE
694,Dream Adventure,Movie,Fantasy,None,2014,106,TV-PG,English,South Korea,6.4,6586991,23899749,0,0,FALSE,2025-01-05,FALSE
695,Story Mystery,Movie,Fantasy,None,2014,115,TV-Y7,Spanish,South Korea,7.3,11115414,341983926,0,0,TRUE,2025-04-30,FALSE
696,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35,TV-Y,French,Japan,6.3,11115414,64610932.91,0,0,FALSE,2023-08-07,FALSE
696,House Story,Movie,Horror,Sci-Fi,2014,98,PG-13,English,USA,4.6,11115414,379710483,0,0,TRUE,2021-12-28,FALSE
697,Princess Family,Movie,Horror,None,2014,136,TV-PG,Hindi,USA,7.5,1750334,8461465,0,0,FALSE,2023-01-06,FALSE
698,Legend Mission,Movie,Mystery,None,2014,69,TV-Y,Korean,Japan,4.3,5542251,1949871,0,0,FALSE,2022-10-21,FALSE
699,Dream Love,TV Series,Mystery,None,2014,31,TV-Y7,English,USA,6.3,11115414,64610932.91,3,113,TRUE,2022-01-25,FALSE
700,Mystery Day,Movie,Romance,None,2014,79,TV-Y7,Hindi,Japan,0.9,44425136,16348642,0,0,TRUE,2021-06-07,TRUE
701,An War,Movie,Romance,War,2014,138,PG,English,South Korea,5.6,3696939,158596540,0,0,TRUE,2024-09-07,FALSE
702,Battle Queen,Limited Series,Romance,None,2014,52,TV-14,English,South Korea,6.5,11115414,64610932.91,14,178,TRUE,2024-08-04,FALSE
703,Mystery Day,Movie,Romance,None,2014,79,TV-Y7,Hindi,Japan,0.9,44425136,16348642,0,0,TRUE,2021-06-07,TRUE
704,Hero Love,Documentary,Sport,None,2014,96,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-07-14,FALSE
705,Bright Love,Movie,War,None,2014,79,PG-13,English,USA,4.4,11115414,64610932.91,0,0,FALSE,2024-11-22,FALSE
706,First Kingdom,TV Series,War,Romance,2014,58,NC-17,English,South Korea,6.3,11115414,64610932.91,1,152,FALSE,2024-05-30,FALSE
707,King Battle,TV Series,War,Sport,2014,52,TV-Y7,Spanish,UK,6.3,11115414,64610932.91,6,45,FALSE,2023-02-22,FALSE
708,First Kingdom,TV Series,War,Romance,2014,58,NC-17,English,South Korea,6.3,11115414,64610932.91,1,152,FALSE,2024-05-30,FALSE
709,Princess Adventure,Movie,Action,Adventure,2015,140,TV-Y,Korean,USA,4.9,11115414,64610932.91,0,0,FALSE,2024-07-06,TRUE
710,Mystery Empire,Movie,Adventure,None,2015,95,G,English,UK,7.2,3408376,64610932.91,0,0,TRUE,2023-07-14,FALSE
711,Empire King,Stand-up Comedy,Adventure,None,2015,51,R,German,Canada,5.7,11115414,64610932.91,0,0,FALSE,2023-12-17,FALSE
712,Mission Night,Stand-up Comedy,Adventure,None,2015,72,TV-Y7,English,USA,2.6,11115414,64610932.91,0,0,FALSE,2023-01-10,FALSE
713,Dragon Journey,Movie,Adventure,Documentary,2015,111,G,Hindi,Japan,7.3,45933057,2099413,0,0,FALSE,2022-09-16,FALSE
714,House Dragon,Stand-up Comedy,Animation,None,2015,66,PG-13,Hindi,USA,8.2,11115414,64610932.91,0,0,TRUE,2023-06-17,FALSE
715,Quest Quest,TV Series,Animation,None,2015,29,PG-13,English,Canada,7.0,11115414,64610932.91,3,46,TRUE,2022-02-23,TRUE
716,Last Quest,TV Series,Biography,None,2015,41,TV-PG,French,USA,6.1,11115414,64610932.91,8,116,FALSE,2023-08-10,FALSE
716,Bright War,Movie,Comedy,None,2015,85,TV-PG,English,USA,5.7,503735,58761541,0,0,FALSE,2021-01-10,TRUE
717,Battle Fire,Movie,Comedy,None,2015,74,TV-MA,English,USA,6.3,2627377,10816317,0,0,FALSE,2025-02-26,FALSE
718,Phoenix City,Documentary,Documentary,None,2015,68,PG,Korean,Japan,8.1,11115414,64610932.91,0,0,TRUE,2023-05-29,FALSE
719,City Family,Movie,Family,None,2015,144,TV-G,Korean,UK,6.4,951503,8854233,0,0,FALSE,2023-06-04,TRUE
720,Queen House,TV Series,Fantasy,None,2015,44,PG,English,Canada,7.9,11115414,64610932.91,10,115,TRUE,2025-03-15,FALSE
721,King Adventure,Movie,Fantasy,None,2015,104,TV-MA,English,France,7.5,2435028,296405,0,0,TRUE,2021-09-09,FALSE
722,Queen Kingdom,Movie,History,None,2015,100,PG,Japanese,USA,0.7,11115414,64610932.91,0,0,TRUE,2020-12-23,TRUE
723,Our Night,Movie,History,None,2015,102,TV-MA,English,USA,10.0,14939487,21771252,0,0,FALSE,2024-10-15,TRUE
724,Little Night,TV Series,History,None,2015,52,TV-Y,English,USA,6.8,11115414,64610932.91,1,164,TRUE,2022-11-15,FALSE
725,Our Night,Movie,History,None,2015,102,TV-MA,English,USA,10.0,14939487,21771252,0,0,FALSE,2024-10-15,TRUE
726,Dark Dragon,Documentary,Horror,None,2015,87,TV-G,English,South Korea,5.2,11115414,64610932.91,0,0,FALSE,2024-03-10,FALSE
727,Love Journey,Movie,Horror,Animation,2015,109,TV-G,Hindi,USA,7.9,23460063,256361930,0,0,FALSE,2025-01-08,FALSE
728,Princess Quest,Movie,Music,Thriller,2015,87,PG-13,Spanish,USA,6.3,1373809,64610932.91,0,0,FALSE,2021-09-16,FALSE
729,Journey Fire,TV Series,Music,None,2015,38,TV-MA,Italian,South Korea,4.0,11115414,64610932.91,5,65,FALSE,2020-08-15,FALSE
730,Night Legend,Documentary,Romance,None,2015,91,TV-MA,Japanese,USA,5.3,11115414,64610932.91,0,0,TRUE,2025-04-22,FALSE
731,Mystery Mystery,Movie,Romance,Sport,2015,101,G,English,USA,5.7,5694534,169216899,0,0,TRUE,2021-03-11,FALSE
732,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73,TV-14,French,South Korea,6.3,11115414,64610932.91,14,75,FALSE,2021-06-09,FALSE
733,Kingdom Dream,Documentary,Sci-Fi,Drama,2015,79,G,Italian,USA,5.7,11115414,64610932.91,0,0,FALSE,2022-10-17,FALSE
734,Warrior Mission,Documentary,Sport,Mystery,2015,91,TV-G,English,USA,3.1,11115414,64610932.91,0,0,FALSE,2023-06-15,FALSE
735,A Family,Stand-up Comedy,Thriller,None,2015,27,PG,Spanish,Canada,7.4,11115414,64610932.91,0,0,FALSE,2024-11-08,FALSE
736,Hero Hero,Stand-up Comedy,War,Adventure,2015,42,PG,English,USA,8.6,11115414,64610932.91,0,0,FALSE,2020-10-11,FALSE
737,War Adventure,Movie,War,None,2015,105,TV-PG,English,USA,7.4,39546152,334149698,0,0,FALSE,2020-12-29,FALSE
738,Our Legend,Movie,War,None,2015,113,TV-Y7,Korean,USA,6.4,484647,212752946,0,0,FALSE,2021-07-04,TRUE
739,Day Night,Movie,Western,None,2015,109,PG,Spanish,USA,6.2,18695365,255722052,0,0,TRUE,2022-07-30,FALSE
740,Bright Storm,Limited Series,Action,Animation,2016,35,TV-G,Spanish,South Korea,6.3,11115414,64610932.91,14,176,FALSE,2024-09-11,FALSE
741,Family Kingdom,Movie,Adventure,None,2016,107,TV-14,English,USA,5.1,1028211,64610932.91,0,0,FALSE,2024-02-17,FALSE
742,War Hero,TV Series,Animation,Crime,2016,18,TV-PG,English,USA,6.5,11115414,64610932.91,1,177,FALSE,2023-04-21,TRUE
743,Ice Journey,Movie,Animation,None,2016,105,NC-17,Japanese,USA,5.6,4268594,3435870,0,0,FALSE,2024-10-10,FALSE
744,Ice Secret,Movie,Animation,Drama,2016,93,TV-PG,English,USA,8.0,237105,64610932.91,0,0,TRUE,2023-02-19,FALSE
745,A Dragon,TV Series,Animation,None,2016,51,R,French,USA,8.9,11115414,64610932.91,14,17,TRUE,2023-05-11,FALSE
746,Love Journey,Movie,Comedy,None,2016,10,R,Italian,Canada,6.6,9355608,738634327,0,0,FALSE,2023-08-19,FALSE
746,Empire Kingdom,Documentary,Crime,None,2016,46,TV-PG,English,USA,8.7,11115414,64610932.91,0,0,FALSE,2021-06-25,FALSE
747,Quest Mission,TV Series,Crime,None,2016,27,TV-14,Japanese,South Korea,6.3,11115414,64610932.91,7,149,FALSE,2022-12-28,FALSE
748,An Fire,Movie,Crime,None,2016,136,PG,English,Japan,5.1,1121652,130558068,0,0,TRUE,2022-02-02,TRUE
749,Storm Kingdom,Movie,Crime,None,2016,149,G,Spanish,USA,6.3,11115414,64610932.91,0,0,TRUE,2023-09-10,TRUE
750,Queen Princess,TV Series,Documentary,Horror,2016,32,TV-Y,English,USA,6.1,11115414,64610932.91,14,155,FALSE,2022-03-17,FALSE
751,Fire Warrior,Limited Series,Documentary,None,2016,69,TV-PG,English,USA,7.5,11115414,64610932.91,0,146,FALSE,2020-11-15,FALSE
